Bill_ID,Bill_Name,Category,Amount_Due,Due_Date,Paid_Date,Status,Recurring,Frequency,Payment_Method,Notes
1001,Rent,Housing,1200.00,2025-09-01,2025-09-01,Paid,true,Monthly,AutoPay Checking,Monthly rent for apartment
1002,Electricity,Utilities,148.62,2025-09-10,,Pending,true,Monthly,Credit Card,Based on last month's usage
1003,Internet,Utilities,79.99,2025-09-05,,Overdue,true,Monthly,Credit Card,Fiber 1Gb plan
1004,Water,Utilities,52.30,2025-09-12,,Pending,true,Monthly,ACH,City water bill
1005,Car Insurance,Transportation,118.50,2025-09-20,,Pending,true,Monthly,AutoPay Checking,6-month policy installment
1006,Phone,Utilities,68.00,2025-09-15,,Pending,true,Monthly,Credit Card,Mobile phone plan
1007,Credit Card Payment,Debt,250.00,2025-09-08,,Overdue,false,,ACH,Minimum due from statement 2025-08
1008,Netflix,Personal,15.99,2025-09-02,2025-09-02,Auto-Paid,true,Monthly,Credit Card,Streaming subscription
1009,Trash,Utilities,22.00,2025-09-07,,Overdue,true,Monthly,ACH,Quarterly service billed monthly
1010,HOA Dues,Housing,180.00,2025-09-03,2025-09-04,Paid,true,Monthly,ACH,Community association fees
